Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,0.02836689196174782,0.02836689196174782
PC2,0.013717665647026332,0.04208455760877415
PC3,0.009960337782878541,0.05204489539165269
PC4,0.009344948912972455,0.061389844304625144
PC5,0.00883003691424896,0.0702198812188741
