Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,0.02973630357012122,0.02973630357012122
PC2,0.014708422412506332,0.04444472598262755
PC3,0.013510370576489097,0.05795509655911665
PC4,0.010877276307334394,0.06883237286645105
PC5,0.009686152850585555,0.0785185257170366
