name,SMILES,herb,PC1,PC2,PC3,PC4,PC5
alorac,C(=C(C(=O)O)Cl)(C(=O)C(Cl)(Cl)Cl)Cl,1,-1.677731776290495,-0.3813475523975715,1.6142780323605992,0.45017107238553483,3.0019863451879822
amidochlor,CCC1=C(C(=CC=C1)CC)N(CNC(=O)C)C(=O)CCl,1,-1.6742000886878947,-1.131629566954924,-2.1401506446246836,-0.26933428461143083,0.6844611863338432
bentranil,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)O2,1,-1.2681975066498195,-0.30418038320339874,-0.3088674838499613,1.626597745112329,0.27318118161461746
benzadox,C1=CC=C(C=C1)C(=O)NOCC(=O)O,1,-2.064677611391718,-0.7653806261835259,-1.2028864465776272,0.3244121374612783,0.21839182898913373
benzipram,CC1=CC(=CC(=C1)C(=O)N(CC2=CC=CC=C2)C(C)C)C,1,-1.1215791506791968,-0.8642359601239432,-0.7811117706132266,-0.21842935012832046,-0.4670329709835683
benzofluor,CCSC1=CC(=C(C=C1)NS(=O)(=O)C)C(F)(F)F,1,-2.484676784050545,-1.146855821038066,-2.250341692719296,0.3944662477256266,0.8274851177781586
benzoylprop,CC(C(=O)O)N(C1=CC(=C(C=C1)Cl)Cl)C(=O)C2=CC=CC=C2,1,-1.9160777743719668,-1.1090085916204904,-1.5819919541546945,0.10373843503900651,-0.23626886975654235
buthidazole,CC(C)(C)C1=NN=C(S1)N2C(CN(C2=O)C)O,1,0.8784384017791353,0.8184687552858323,0.6250698274442672,-0.01500345522180517,2.498302297664799
cambendichlor,COC1=C(C=CC(=C1C(=O)OCCN(CCOC(=O)C2=C(C(=CC(=C2)Cl)Cl)OC)C3=CC=CC=C3)Cl)Cl,1,-1.7586343004828158,3.6077835681039385,-0.860831647347419,-1.5520226084749422,2.656915978260346
carboxazole,CC(C)(C)C1=CC(=NO1)NC(=O)OC,1,-1.153643247554987,0.03219802762568755,-0.9874326973691336,-0.8774010846387917,2.201533855073406
chlorflurazole,C1=CC(=C(C2=C1NC(=N2)C(F)(F)F)Cl)Cl,1,-2.398715727829659,0.5354425107723138,-0.3783073314869494,1.6435481292599479,1.986591862868408
chlorflurenol,C1=CC=C2C(=C1)C3=C(C2(C(=O)O)O)C=C(C=C3)Cl,1,-1.5665955269613392,1.415906725872107,0.48861163536180874,-0.7833830033118568,1.6563381226338407
chloroacetic acid,C(C(=O)O)Cl,1,-1.9776530709837885,-0.9383285390802034,-1.2957989283897589,-0.003324258508335419,-0.00611435640555014
chloropon,C(C(C(=O)O)(Cl)Cl)Cl,1,-2.043584542250456,-0.9063200329427211,-0.8919163543522561,1.1423974264107974,-0.007515829053653153
cisanilide,CC1CCC(N1C(=O)NC2=CC=CC=C2)C,1,-1.356031741074224,0.015706486086636426,-0.2829596476040302,0.026610775444026014,0.43260963520233786
clacyfos,CC(OC(=O)COC1=C(C=C(C=C1)Cl)Cl)P(=O)(OC)OC,1,-1.9411670539652957,-0.3664428713245337,-2.6184164377484174,-0.5669882297367619,-0.08445071432934032
cliodinate,CC(=O)OC1=C(C(=NC=C1I)Cl)I,1,-1.915130181430493,-0.8256820480469079,-0.033165065243599266,-0.5407691896897999,0.40201251931343623
CPMF,CN(C)C(=NC1=CC(=C(C=C1)Cl)Cl)Cl,1,-1.988913089742481,-0.9733491746288975,-1.6696483493322134,0.4429938397111083,0.48619877066519335
credazine,CC1=CC=CC=C1OC2=NN=CC=C2,1,-2.1580084369945465,-0.7977781760200982,-1.3215915113098153,0.3653954511049396,0.4394685284354992
cycluron,CN(C)C(=O)NC1CCCCCCC1,1,-0.9121860095085064,-0.40162659793368116,0.08194317899185023,-0.7040319853025502,2.7919719786735797
cyprazole,CC(C)(CCl)C1=NN=C(S1)NC(=O)C2CC2,1,-1.8772814399659654,-0.4764434662057903,-0.3824468969638267,0.574488157689892,2.3092865212332168
cypromid,C1CC1C(=O)NC2=CC(=C(C=C2)Cl)Cl,1,-1.909260583277627,-0.4268872503363059,-1.696601214643505,-0.11589018548536757,0.24614738573682537
dazomet,CN1CN(C(=S)SC1)C,1,-1.0662824553695245,-0.668959471257652,0.89924159412978,3.5752949018578137,0.4413317227953017
dichloralurea,C(C(Cl)(Cl)Cl)(NC(=O)NC(C(Cl)(Cl)Cl)O)O,1,-1.1212271478186742,-0.7157380939032828,-0.8671241219049548,0.3213620786736584,-0.09961227957461918
dichlormate,CNC(=O)OCC1=CC(=C(C=C1)Cl)Cl,1,-1.8706864634480362,-0.5524331855352371,0.28451734278258023,-1.4510258694021976,-1.3556243834883277
