Component,Explained_Variance_Ratio,Cumulative_Variance_Ratio
PC1,0.11109477049879486,0.11109477049879486
PC2,0.08171331654320095,0.1928080870419958
PC3,0.06266789768622705,0.25547598472822286
PC4,0.053318500533105405,0.30879448526132824
PC5,0.04749954822070373,0.356294033482032
