name,SMILES,herb,PC1,PC2,PC3,PC4,PC5
alorac,C(=C(C(=O)O)Cl)(C(=O)C(Cl)(Cl)Cl)Cl,1,-4.371897819887807,-2.407262657935629,0.11593864134906326,-2.3498399702260353,-0.09900134479198598
amidochlor,CCC1=C(C(=CC=C1)CC)N(CNC(=O)C)C(=O)CCl,1,0.5691987013029547,1.099601720293873,-1.8295095034714581,5.623385698464086,-1.585453285268808
bentranil,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)O2,1,-0.49037799861251535,0.7634475890370087,-3.673595403756299,-2.6017724331588328,-1.462842333473886
benzadox,C1=CC=C(C=C1)C(=O)NOCC(=O)O,1,0.13025622149742327,0.3923008394941125,0.649408990122336,1.404053843684173,2.0803231295482507
benzipram,CC1=CC(=CC(=C1)C(=O)N(CC2=CC=CC=C2)C(C)C)C,1,-1.2723356944749928,-1.1542439025674798,-2.201910371317573,2.4133608788129917,-1.9764102573861848
benzofluor,CCSC1=CC(=C(C=C1)NS(=O)(=O)C)C(F)(F)F,1,7.349232281140018,-4.463101570771289,4.311820848681052,-2.0118098606133126,-1.1454656223776358
benzoylprop,CC(C(=O)O)N(C1=CC(=C(C=C1)Cl)Cl)C(=O)C2=CC=CC=C2,1,0.10559754666688857,-1.1350895913654016,-4.00038267324369,-0.6512685905841858,1.0718350138959805
buthidazole,CC(C)(C)C1=NN=C(S1)N2C(CN(C2=O)C)O,1,5.536423764778745,3.190602519036994,-2.54958535318646,4.088673438357737,-3.0224025814756383
cambendichlor,COC1=C(C=CC(=C1C(=O)OCCN(CCOC(=O)C2=C(C(=CC(=C2)Cl)Cl)OC)C3=CC=CC=C3)Cl)Cl,1,-0.09939303258739497,2.850393184109343,-1.164587677368657,1.5601890328735248,2.272166040071948
carboxazole,CC(C)(C)C1=CC(=NO1)NC(=O)OC,1,2.6826230210652406,1.2828276075781382,-2.0664368714263546,0.1626236995692936,-0.6486949956484344
chlorflurazole,C1=CC(=C(C2=C1NC(=N2)C(F)(F)F)Cl)Cl,1,0.43169279539053446,-1.6528169320564492,-5.085741228539335,-1.5749538062265227,-2.6456728106923713
chlorflurenol,C1=CC=C2C(=C1)C3=C(C2(C(=O)O)O)C=C(C=C3)Cl,1,-3.1660718243482453,0.4508387991755263,-2.009165572895284,-4.3958903437950525,0.8151493448754693
chloroacetic acid,C(C(=O)O)Cl,1,-4.8564249940140956,-2.557266579476826,0.06538691166755953,-0.25906859659749415,-0.9073314971737034
chloropon,C(C(C(=O)O)(Cl)Cl)Cl,1,-4.611789415610602,-2.6209678836070327,-0.1802899236638692,-0.8680387749093296,-0.8168790000946917
cisanilide,CC1CCC(N1C(=O)NC2=CC=CC=C2)C,1,0.9218094308518424,0.7673606303212198,-2.45182867713774,3.758507699704396,-2.9208970262299596
clacyfos,CC(OC(=O)COC1=C(C=C(C=C1)Cl)Cl)P(=O)(OC)OC,1,-1.2850296248755912,0.16919727453650615,1.527446451907345,-2.605104527864293,2.977380004023151
cliodinate,CC(=O)OC1=C(C(=NC=C1I)Cl)I,1,-1.0518897293545877,-0.7857685233846408,-3.952036521497938,-3.446349102537616,0.669081421975364
CPMF,CN(C)C(=NC1=CC(=C(C=C1)Cl)Cl)Cl,1,-0.001112427621070328,-3.1078380868372704,-4.274137395209953,2.3293814713074728,-0.3720299801666936
credazine,CC1=CC=CC=C1OC2=NN=CC=C2,1,1.0765527723673904,-0.16002994344033605,-4.072596582134346,-1.888218359213637,0.00683684815869738
cycluron,CN(C)C(=O)NC1CCCCCCC1,1,-0.6339218255555571,-0.12641386008697847,-0.7654984391463584,4.758396631294594,-3.3713510538305647
cyprazole,CC(C)(CCl)C1=NN=C(S1)NC(=O)C2CC2,1,3.063708560885812,0.6900503567987739,-2.782323331610034,2.8807779385112804,-4.040864951233685
cypromid,C1CC1C(=O)NC2=CC(=C(C=C2)Cl)Cl,1,-1.512188701113067,-1.9034709613693745,-4.083476971154751,0.00377737964561521,-0.7312977974809877
dazomet,CN1CN(C(=S)SC1)C,1,1.7120817789263307,-1.09827959115478,-0.6796461608799311,4.816705654971204,-4.9538296191542015
dichloralurea,C(C(Cl)(Cl)Cl)(NC(=O)NC(C(Cl)(Cl)Cl)O)O,1,-0.060661860372359655,-2.0508658425137,-1.7316180542882371,-0.3336042940078662,-2.1483097220456124
dichlormate,CNC(=O)OCC1=CC(=C(C=C1)Cl)Cl,1,-1.4909220492245558,-0.6479233913421119,-2.6812859756666025,-0.2703703946202496,-0.26129502408921657
difenopenten,CC(C=CC(=O)O)OC1=CC=C(C=C1)OC2=CC=C(C=C2)C(F)(F)F,1,-2.709344329095642,-0.7268669356242611,-1.2262752155696426,-4.130183269810055,1.5897347544697986
disul,C1=CC(=C(C=C1Cl)Cl)OCCOS(=O)(=O)O,1,1.7907575159740026,-1.7472889795059185,6.820862893888458,-4.225896135025473,1.9910114754447796
erbon,CC(C(=O)OCCOC1=CC(=C(C=C1Cl)Cl)Cl)(Cl)Cl,1,-3.448776364141706,1.0121850105702592,-0.5893078747167996,-2.1295457821344552,1.8124063440860223
EXD,CCOC(=S)SSC(=S)OCC,1,-2.5708724827784804,-3.6081065256022575,3.156832686025646,0.8355758951408556,-2.019683601643088
fenteracol,C1=C(C(=CC(=C1Cl)Cl)Cl)OCCO,1,-3.6912829010315815,0.030099251314128835,-1.1572739684034083,-1.1552328101154554,1.3063216909361897
flamprop,CC(C(=O)O)N(C1=CC(=C(C=C1)F)Cl)C(=O)C2=CC=CC=C2,1,0.28032648129644966,-1.1312829843454348,-4.188503413840459,-0.7770296700171164,1.2413735419484846
